             A            B          C            D                              pred  similarity
447  Stockholm       Sweden       Bern  Switzerland                       Switzerland    0.534719
448  Stockholm       Sweden      Cairo        Egypt                             Egypt    0.720870
449  Stockholm       Sweden   Canberra    Australia                         Australia    0.695768
450  Stockholm       Sweden      Hanoi      Vietnam                          Viet_Nam    0.689272
451  Stockholm       Sweden     Havana         Cuba                              Cuba    0.730288
452  Stockholm       Sweden   Helsinki      Finland                           Finland    0.830491
453  Stockholm       Sweden  Islamabad     Pakistan                          Pakistan    0.743442
454  Stockholm       Sweden      Kabul  Afghanistan                            Afghan    0.635363
455  Stockholm       Sweden     London      England                           Britain    0.682816
456  Stockholm       Sweden     Madrid        Spain                             Spain    0.779670
457  Stockholm       Sweden     Moscow       Russia                            Russia    0.821164
458  Stockholm       Sweden       Oslo       Norway                            Norway    0.794228
459  Stockholm       Sweden     Ottawa       Canada                            Canada    0.678628
460  Stockholm       Sweden      Paris       France                            France    0.782605
461  Stockholm       Sweden       Rome        Italy                             Italy    0.724794
462     Tehran         Iran      Tokyo        Japan                             Japan    0.786010
463     Tehran         Iran     Athens       Greece                            Greece    0.657497
464     Tehran         Iran    Baghdad         Iraq                              Iraq    0.775811
465     Tehran         Iran    Bangkok     Thailand                          Thailand    0.803601
466     Tehran         Iran    Beijing        China                             China    0.819825
467     Tehran         Iran     Berlin      Germany                           Germany    0.694808
468     Tehran         Iran       Bern  Switzerland              coach_Bobby_Curlings    0.513025
469     Tehran         Iran      Cairo        Egypt                             Egypt    0.802915
470     Tehran         Iran   Canberra    Australia                         Australia    0.701848
471     Tehran         Iran      Hanoi      Vietnam                          Viet_Nam    0.753417
472     Tehran         Iran     Havana         Cuba                              Cuba    0.833504
473     Tehran         Iran   Helsinki      Finland                           Finland    0.695157
474     Tehran         Iran  Islamabad     Pakistan                          Pakistan    0.847893
475     Tehran         Iran      Kabul  Afghanistan                            Afghan    0.727718
476     Tehran         Iran     London      England                           Britain    0.625898
477     Tehran         Iran     Madrid        Spain                             Spain    0.707591
478     Tehran         Iran     Moscow       Russia                            Russia    0.862643
479     Tehran         Iran       Oslo       Norway                            Norway    0.701720
480     Tehran         Iran     Ottawa       Canada                            Canada    0.650805
481     Tehran         Iran      Paris       France                            France    0.680817
482     Tehran         Iran       Rome        Italy                             Italy    0.606093
483     Tehran         Iran  Stockholm       Sweden                            Sweden    0.711914
484      Tokyo        Japan     Athens       Greece                            Greece    0.670182
485      Tokyo        Japan    Baghdad         Iraq                              Iraq    0.700537
486      Tokyo        Japan    Bangkok     Thailand                          Thailand    0.832972
487      Tokyo        Japan    Beijing        China                             China    0.842781
488      Tokyo        Japan     Berlin      Germany                           Germany    0.760714
489      Tokyo        Japan       Bern  Switzerland                       Switzerland    0.483497
490      Tokyo        Japan      Cairo        Egypt                             Egypt    0.760471
491      Tokyo        Japan   Canberra    Australia                         Australia    0.740898
492      Tokyo        Japan      Hanoi      Vietnam                          Viet_Nam    0.766781
493      Tokyo        Japan     Havana         Cuba                              Cuba    0.766819
494      Tokyo        Japan   Helsinki      Finland                           Finland    0.793880
495      Tokyo        Japan  Islamabad     Pakistan                          Pakistan    0.794366
496      Tokyo        Japan      Kabul  Afghanistan                       Afghanistan    0.668422
497      Tokyo        Japan     London      England                           Britain    0.723644
498      Tokyo        Japan     Madrid        Spain                             Spain    0.790462
499      Tokyo        Japan     Moscow       Russia                            Russia    0.886314
500      Tokyo        Japan       Oslo       Norway                            Norway    0.755891
501      Tokyo        Japan     Ottawa       Canada                            Canada    0.714296
502      Tokyo        Japan      Paris       France                            France    0.788998
503      Tokyo        Japan       Rome        Italy                             Italy    0.694494
504      Tokyo        Japan  Stockholm       Sweden                            Sweden    0.810934
505      Tokyo        Japan     Tehran         Iran                              Iran    0.825953
